,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3
Dönem Kar/Zararının Dağılımı,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dönem Sonu Nakit,16011915000.0,8339980000.0,10742477000.0,10205078000.0,11988227000.0,11528330000.0,9243286000.0,10205078000.0
Dönen Varlıklar,59594808000.0,43334970000.0,42735931000.0,38186821000.0,33060849000.0,31721085000.0,25233483000.0,38186821000.0
FAALİYET KARI (ZARARI),7020144000.0,4010401000.0,2745291000.0,1678124000.0,4852296000.0,3359379000.0,1485262000.0,1678124000.0
Faaliyet Karı Öncesi Diğer Gelir ve Giderler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finansal Borçlardaki Değişim,9621066000.0,3829867000.0,6337661000.0,1286299000.0,598316000.0,43675000.0,106339000.0,1286299000.0
Finansman Faaliyetlerden Kaynaklanan Nakit,4802358000.0,209202000.0,3905396000.0,-565407000.0,-1307361000.0,-1685504000.0,-988670000.0,-565407000.0
Finansman Gideri Öncesi Faaliyet Karı/Zararı,7282891000.0,4000610000.0,2732546000.0,1682344000.0,5069705000.0,3584255000.0,1736713000.0,1682344000.0
Finansman Giderleri,-14969635000.0,-4759700000.0,-3410460000.0,-2164273000.0,-5424296000.0,-4172970000.0,-2388035000.0,-2164273000.0
Genel Yönetim Giderleri (-),-3106770000.0,-2048062000.0,-1251830000.0,-570825000.0,-2175948000.0,-1454677000.0,-903576000.0,-570825000.0
Hisse Başına Kazanç,5.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0
KAYNAKLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kıdem Tazminatı,117078000.0,40147000.0,25207000.0,20657000.0,39883000.0,36607000.0,17899000.0,20657000.0
Kısa Vadeli Yükümlülükler,40501624000.0,30401577000.0,30707560000.0,27965693000.0,23826916000.0,23140245000.0,14833387000.0,27965693000.0
Nakit ve Benzerlerindeki Değişim,4023688000.0,-3648247000.0,-1245750000.0,-1783149000.0,5065289000.0,4605392000.0,2320348000.0,-1783149000.0
Net Faaliyet Kar/Zararı,5007514000.0,3886825000.0,2586895000.0,1538835000.0,3842955000.0,2263220000.0,859916000.0,1538835000.0
Net YPP (Hedge Dahil),-1394130000.0,456403000.0,45086000.0,41414000.0,-569617000.0,-63998000.0,74237000.0,41414000.0
Net Yabancı Para Pozisyonu,-3415344000.0,-2025683000.0,-3678578000.0,501207000.0,1353028000.0,551543000.0,282483000.0,501207000.0
Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-3415344000.0,-2025683000.0,-3678578000.0,501207000.0,1353028000.0,486237000.0,214398000.0,501207000.0
"Pazarlama, Satış ve Dağıtım Giderleri (-)",-11919993000.0,-7771810000.0,-4855571000.0,-2285710000.0,-7469259000.0,-5055945000.0,-2967479000.0,-2285710000.0
Satış Gelirleri,68184437000.0,45665908000.0,27518228000.0,12983814000.0,40872483000.0,27537812000.0,15599657000.0,12983814000.0
Satışların Maliyeti (-),-47706092000.0,-31664375000.0,-18642175000.0,-8500972000.0,-27066110000.0,-18534646000.0,-10723769000.0,-8500972000.0
Serbest Nakit Akım,-5011045000.0,-5246316000.0,-6587191000.0,-2146297000.0,5099145000.0,4472874000.0,2595523000.0,-2146297000.0
Sermaye Artırımı,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seyreltilmiş Hisse Başına Kazanç,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0
SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,3251009000.0,2358165000.0,1641347000.0,1100192000.0,2878989000.0,1709215000.0,668008000.0,1100192000.0
SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),3622614000.0,2648233000.0,1877794000.0,1294256000.0,3497905000.0,2119173000.0,834138000.0,1294256000.0
Sürdürülen Faaliyetler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sürdürülen Faaliyetler Vergi Geliri (Gideri),-371605000.0,-290068000.0,-236447000.0,-194064000.0,-618916000.0,-409958000.0,-166130000.0,-194064000.0
Sürdürülen Faaliyetlerden Hisse Başına Kazanç,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0
Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0
TOPLAM KAYNAKLAR,85078606000.0,62288817000.0,61838847000.0,53003175000.0,46549044000.0,45143249000.0,37340550000.0,53003175000.0
TOPLAM VARLIKLAR,85078606000.0,62288817000.0,61838847000.0,53003175000.0,46549044000.0,45143249000.0,37340550000.0,53003175000.0
Temettü Ödemeleri,-1513222000.0,-1513222000.0,-1513222000.0,-1500000000.0,-27086000.0,-27086000.0,-27086000.0,-1500000000.0
Ticari Faaliyetlerden Brüt Kar (Zarar),20478345000.0,14001533000.0,8876053000.0,4482842000.0,13806373000.0,9003166000.0,4875888000.0,4482842000.0
Ticari Faaliyetlerden Diğer Kar (Zarar),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzun Vadeli Yükümlülükler,23521767000.0,16039225000.0,15635439000.0,10548095000.0,8698282000.0,9097575000.0,11626216000.0,10548095000.0
Vergi Öncesi Diğer Gelir ve Giderler,307261000.0,2099000.0,658000.0,-323000.0,176183000.0,178186000.0,226793000.0,-323000.0
Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,-208687000.0,-5037114000.0,-2681795000.0,-2711704000.0,3791784000.0,2787370000.0,1606853000.0,-2711704000.0
Yurtdışı Satışlar,47395732000.0,30789500000.0,18042553000.0,8297416000.0,26769945000.0,17419815000.0,9585583000.0,8297416000.0
Yurtiçi Satışlar,20788705000.0,14876408000.0,9475675000.0,4686398000.0,14102538000.0,10117997000.0,6014074000.0,4686398000.0
Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,-44514000.0,-11890000.0,-13403000.0,4543000.0,41226000.0,46690000.0,24658000.0,4543000.0
Özkaynaklar,21055215000.0,15848015000.0,15495848000.0,14489387000.0,14023846000.0,12905429000.0,10880947000.0,14489387000.0
